"SampleID";"PlantID";"Management";"Medium";"Organ";"FungalClass";"Count"
"Conventional_Commercial_Bark_P1";"P1";"Conventional";"Commercial";"Bark";"Dothideomycetes";3
"Conventional_Commercial_Bark_P2";"P2";"Conventional";"Commercial";"Bark";"Dothideomycetes";5
"Conventional_Commercial_Bark_P3";"P3";"Conventional";"Commercial";"Bark";"Dothideomycetes";4
"Conventional_Commercial_Bark_P4";"P4";"Conventional";"Commercial";"Bark";"Dothideomycetes";3
"Conventional_Commercial_Bark_P5";"P5";"Conventional";"Commercial";"Bark";"Dothideomycetes";5
"Conventional_Natural_Bark_P1";"P1";"Conventional";"Natural";"Bark";"Dothideomycetes";1
"Conventional_Natural_Bark_P2";"P2";"Conventional";"Natural";"Bark";"Dothideomycetes";1
"Conventional_Natural_Bark_P3";"P3";"Conventional";"Natural";"Bark";"Dothideomycetes";1
"Conventional_Natural_Bark_P4";"P4";"Conventional";"Natural";"Bark";"Dothideomycetes";1
"Conventional_Natural_Bark_P5";"P5";"Conventional";"Natural";"Bark";"Dothideomycetes";1
"Conventional_Commercial_Bark_P1";"P1";"Conventional";"Commercial";"Bark";"Eurotiomycetes";1
"Conventional_Commercial_Bark_P2";"P2";"Conventional";"Commercial";"Bark";"Eurotiomycetes";0
"Conventional_Commercial_Bark_P3";"P3";"Conventional";"Commercial";"Bark";"Eurotiomycetes";0
"Conventional_Commercial_Bark_P4";"P4";"Conventional";"Commercial";"Bark";"Eurotiomycetes";0
"Conventional_Commercial_Bark_P5";"P5";"Conventional";"Commercial";"Bark";"Eurotiomycetes";1
"Conventional_Natural_Bark_P1";"P1";"Conventional";"Natural";"Bark";"Eurotiomycetes";0
"Conventional_Natural_Bark_P2";"P2";"Conventional";"Natural";"Bark";"Eurotiomycetes";0
"Conventional_Natural_Bark_P3";"P3";"Conventional";"Natural";"Bark";"Eurotiomycetes";0
"Conventional_Natural_Bark_P4";"P4";"Conventional";"Natural";"Bark";"Eurotiomycetes";1
"Conventional_Natural_Bark_P5";"P5";"Conventional";"Natural";"Bark";"Eurotiomycetes";0
"Conventional_Commercial_Grape_P1";"P1";"Conventional";"Commercial";"Grape";"Dothideomycetes";4
"Conventional_Commercial_Grape_P2";"P2";"Conventional";"Commercial";"Grape";"Dothideomycetes";6
"Conventional_Commercial_Grape_P3";"P3";"Conventional";"Commercial";"Grape";"Dothideomycetes";5
"Conventional_Commercial_Grape_P4";"P4";"Conventional";"Commercial";"Grape";"Dothideomycetes";8
"Conventional_Commercial_Grape_P5";"P5";"Conventional";"Commercial";"Grape";"Dothideomycetes";4
"Conventional_Natural_Grape_P1";"P1";"Conventional";"Natural";"Grape";"Dothideomycetes";2
"Conventional_Natural_Grape_P2";"P2";"Conventional";"Natural";"Grape";"Dothideomycetes";1
"Conventional_Natural_Grape_P3";"P3";"Conventional";"Natural";"Grape";"Dothideomycetes";2
"Conventional_Natural_Grape_P4";"P4";"Conventional";"Natural";"Grape";"Dothideomycetes";1
"Conventional_Natural_Grape_P5";"P5";"Conventional";"Natural";"Grape";"Dothideomycetes";1
"Conventional_Commercial_Grape_P1";"P1";"Conventional";"Commercial";"Grape";"Sordariomycetes";1
"Conventional_Commercial_Grape_P2";"P2";"Conventional";"Commercial";"Grape";"Sordariomycetes";0
"Conventional_Commercial_Grape_P3";"P3";"Conventional";"Commercial";"Grape";"Sordariomycetes";0
"Conventional_Commercial_Grape_P4";"P4";"Conventional";"Commercial";"Grape";"Sordariomycetes";0
"Conventional_Commercial_Grape_P5";"P5";"Conventional";"Commercial";"Grape";"Sordariomycetes";1
"Conventional_Natural_Grape_P1";"P1";"Conventional";"Natural";"Grape";"Sordariomycetes";0
"Conventional_Natural_Grape_P2";"P2";"Conventional";"Natural";"Grape";"Sordariomycetes";0
"Conventional_Natural_Grape_P3";"P3";"Conventional";"Natural";"Grape";"Sordariomycetes";0
"Conventional_Natural_Grape_P4";"P4";"Conventional";"Natural";"Grape";"Sordariomycetes";1
"Conventional_Natural_Grape_P5";"P5";"Conventional";"Natural";"Grape";"Sordariomycetes";1
"Conventional_Commercial_Grape_P1";"P1";"Conventional";"Commercial";"Grape";"Eurotiomycetes";2
"Conventional_Commercial_Grape_P2";"P2";"Conventional";"Commercial";"Grape";"Eurotiomycetes";3
"Conventional_Commercial_Grape_P3";"P3";"Conventional";"Commercial";"Grape";"Eurotiomycetes";2
"Conventional_Commercial_Grape_P4";"P4";"Conventional";"Commercial";"Grape";"Eurotiomycetes";1
"Conventional_Commercial_Grape_P5";"P5";"Conventional";"Commercial";"Grape";"Eurotiomycetes";2
"Conventional_Natural_Grape_P1";"P1";"Conventional";"Natural";"Grape";"Eurotiomycetes";0
"Conventional_Natural_Grape_P2";"P2";"Conventional";"Natural";"Grape";"Eurotiomycetes";1
"Conventional_Natural_Grape_P3";"P3";"Conventional";"Natural";"Grape";"Eurotiomycetes";0
"Conventional_Natural_Grape_P4";"P4";"Conventional";"Natural";"Grape";"Eurotiomycetes";0
"Conventional_Natural_Grape_P5";"P5";"Conventional";"Natural";"Grape";"Eurotiomycetes";0
"Conventional_Commercial_Leaf_P1";"P1";"Conventional";"Commercial";"Leaf";"Dothideomycetes";4
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Dothideomycetes";7
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Dothideomycetes";3
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Dothideomycetes";5
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Dothideomycetes";9
"Conventional_Natural_Leaf_P1";"P1";"Conventional";"Natural";"Leaf";"Dothideomycetes";5
"Conventional_Natural_Leaf_P2";"P2";"Conventional";"Natural";"Leaf";"Dothideomycetes";6
"Conventional_Natural_Leaf_P3";"P3";"Conventional";"Natural";"Leaf";"Dothideomycetes";4
"Conventional_Natural_Leaf_P4";"P4";"Conventional";"Natural";"Leaf";"Dothideomycetes";8
"Conventional_Natural_Leaf_P5";"P5";"Conventional";"Natural";"Leaf";"Dothideomycetes";3
"Conventional_Commercial_Leaf_P1";"P1";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";1
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Natural_Leaf_P1";"P1";"Conventional";"Natural";"Leaf";"Eurotiomycetes";0
"Conventional_Natural_Leaf_P2";"P2";"Conventional";"Natural";"Leaf";"Eurotiomycetes";0
"Conventional_Natural_Leaf_P3";"P3";"Conventional";"Natural";"Leaf";"Eurotiomycetes";1
"Conventional_Natural_Leaf_P4";"P4";"Conventional";"Natural";"Leaf";"Eurotiomycetes";0
"Conventional_Natural_Leaf_P5";"P5";"Conventional";"Natural";"Leaf";"Eurotiomycetes";1
"Conventional_Commercial_Leaf_P1";"P1";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Mucoromycetes";1
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P1";"P1";"Conventional";"Commercial";"Leaf";"Sordariomycetes";0
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Sordariomycetes";0
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Sordariomycetes";1
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Sordariomycetes";1
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Sordariomycetes";1
"Conventional_Natural_Leaf_P1";"P1";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Natural_Leaf_P2";"P2";"Conventional";"Natural";"Leaf";"Xylonomycetes";1
"Conventional_Natural_Leaf_P3";"P3";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Natural_Leaf_P4";"P4";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Natural_Leaf_P5";"P5";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Dothideomycetes";2
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Natural_Soil_P1";"P1";"Conventional";"Natural";"Soil";"Dothideomycetes";1
"Conventional_Natural_Soil_P2";"P2";"Conventional";"Natural";"Soil";"Dothideomycetes";0
"Conventional_Natural_Soil_P3";"P3";"Conventional";"Natural";"Soil";"Dothideomycetes";1
"Conventional_Natural_Soil_P4";"P4";"Conventional";"Natural";"Soil";"Dothideomycetes";0
"Conventional_Natural_Soil_P5";"P5";"Conventional";"Natural";"Soil";"Dothideomycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Eurotiomycetes";4
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Eurotiomycetes";3
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Eurotiomycetes";3
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Eurotiomycetes";5
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Eurotiomycetes";6
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Mortierellomycetes";1
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Mucoromycetes";1
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Organic_Commercial_Bark_P1";"P1";"Organic";"Commercial";"Bark";"Dothideomycetes";7
"Organic_Commercial_Bark_P2";"P2";"Organic";"Commercial";"Bark";"Dothideomycetes";2
"Organic_Commercial_Bark_P3";"P3";"Organic";"Commercial";"Bark";"Dothideomycetes";4
"Organic_Commercial_Bark_P4";"P4";"Organic";"Commercial";"Bark";"Dothideomycetes";4
"Organic_Commercial_Bark_P5";"P5";"Organic";"Commercial";"Bark";"Dothideomycetes";3
"Organic_Natural_Bark_P1";"P1";"Organic";"Natural";"Bark";"Dothideomycetes";0
"Organic_Natural_Bark_P2";"P2";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Natural_Bark_P3";"P3";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Natural_Bark_P4";"P4";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Natural_Bark_P5";"P5";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Commercial_Bark_P1";"P1";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P2";"P2";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P3";"P3";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P4";"P4";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P5";"P5";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P1";"P1";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P2";"P2";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P3";"P3";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P4";"P4";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P5";"P5";"Organic";"Commercial";"Bark";"Sordariomycetes";1
"Organic_Commercial_Grape_P1";"P1";"Organic";"Commercial";"Grape";"Dothideomycetes";9
"Organic_Commercial_Grape_P2";"P2";"Organic";"Commercial";"Grape";"Dothideomycetes";9
"Organic_Commercial_Grape_P3";"P3";"Organic";"Commercial";"Grape";"Dothideomycetes";7
"Organic_Commercial_Grape_P4";"P4";"Organic";"Commercial";"Grape";"Dothideomycetes";12
"Organic_Commercial_Grape_P5";"P5";"Organic";"Commercial";"Grape";"Dothideomycetes";11
"Organic_Natural_Grape_P1";"P1";"Organic";"Natural";"Grape";"Dothideomycetes";6
"Organic_Natural_Grape_P2";"P2";"Organic";"Natural";"Grape";"Dothideomycetes";7
"Organic_Natural_Grape_P3";"P3";"Organic";"Natural";"Grape";"Dothideomycetes";3
"Organic_Natural_Grape_P4";"P4";"Organic";"Natural";"Grape";"Dothideomycetes";6
"Organic_Natural_Grape_P5";"P5";"Organic";"Natural";"Grape";"Dothideomycetes";7
